	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16724.95364409	7.90041845791251	0.408107285431229	19.3586802783108	1.72241707496628e-83	1.00503036324282e-79
gene-YDR536W	gene-YDR536W	10085.4233999349	7.87460213533129	0.411383786224032	19.1417416024338	1.13414967214069e-81	3.30888166847046e-78
gene-YHR094C	gene-YHR094C	8492.75662329135	7.88194600886338	0.431898681711142	18.2495255082415	2.08714150162794e-74	4.05949022066635e-71
gene-YNL065W	gene-YNL065W	2109.04523230287	7.78577988980491	0.466810111709374	16.6786873174079	1.87289307926249e-62	2.73208277937416e-59
gene-YKL120W	gene-YKL120W	1726.73882317998	7.26978739722698	0.482340737512592	15.0718917807294	2.47911392515852e-51	2.89312595066e-48
gene-YLR264W	gene-YLR264W	1387.41861770825	6.48365302285218	0.43199334674364	15.0086872210553	6.44098887447158e-51	6.26386168042361e-48
gene-YGR159C	gene-YGR159C	8019.03595899418	6.76797463219321	0.451564368467555	14.9878402832386	8.81740683367493e-51	6.43119610931166e-48
gene-YJL122W	gene-YJL122W	1290.7757807773	6.51210204906128	0.434391144749112	14.9913324149884	8.36579413277512e-51	6.43119610931166e-48
gene-YNL112W	gene-YNL112W	5327.50114671469	7.36457765951251	0.493276591934235	14.9299151428097	2.10533847846033e-50	1.36496111353512e-47
gene-YOR271C	gene-YOR271C	1052.07481455897	6.84487877274347	0.472628309215071	14.4825831193042	1.56118039097762e-47	9.10948758135443e-45
gene-YJL108C	gene-YJL108C	954.921332211541	5.99648007416223	0.427904199685312	14.0136041632032	1.28703927793462e-44	6.82715835158955e-42
gene-YJL107C	gene-YJL107C	845.090331407626	6.17218752836023	0.443013178258846	13.9322887698702	4.03223755815105e-44	1.96067551265095e-41
gene-YOR360C	gene-YOR360C	1922.65172609583	5.65930607564177	0.406825927849235	13.9108785557518	5.44070133237783e-44	2.44203786726344e-41
gene-YOL124C	gene-YOL124C	593.94259643294	7.80485814742248	0.562802961242972	13.8678341886922	9.92279160387925e-44	4.1356777863311e-41
